,AMD,APLD,APP,BRK-B,GOOGL,META,QQQM,RDDT,SGOV,SMCI,SNOW,TSLA,ULTY
AMD,1.0,0.23,0.39,0.32,0.55,0.5,0.76,0.13,0.01,0.44,0.43,0.47,0.25
APLD,0.23,1.0,0.18,0.14,0.22,0.18,0.28,0.15,0.05,0.22,0.17,0.2,0.21
APP,0.39,0.18,1.0,0.21,0.4,0.43,0.53,0.18,0.05,0.27,0.44,0.37,0.23
BRK-B,0.32,0.14,0.21,1.0,0.39,0.32,0.52,0.03,-0.02,0.13,0.24,0.28,0.13
GOOGL,0.55,0.22,0.4,0.39,1.0,0.6,0.76,0.15,0.03,0.24,0.41,0.42,0.18
META,0.5,0.18,0.43,0.32,0.6,1.0,0.7,0.16,0.03,0.27,0.43,0.35,0.17
QQQM,0.76,0.28,0.53,0.52,0.76,0.7,1.0,0.22,0.01,0.42,0.6,0.63,0.31
RDDT,0.13,0.15,0.18,0.03,0.15,0.16,0.22,1.0,0.0,0.12,0.15,0.21,0.32
SGOV,0.01,0.05,0.05,-0.02,0.03,0.03,0.01,0.0,1.0,0.04,-0.03,-0.02,-0.01
SMCI,0.44,0.22,0.27,0.13,0.24,0.27,0.42,0.12,0.04,1.0,0.23,0.24,0.25
SNOW,0.43,0.17,0.44,0.24,0.41,0.43,0.6,0.15,-0.03,0.23,1.0,0.42,0.16
TSLA,0.47,0.2,0.37,0.28,0.42,0.35,0.63,0.21,-0.02,0.24,0.42,1.0,0.25
ULTY,0.25,0.21,0.23,0.13,0.18,0.17,0.31,0.32,-0.01,0.25,0.16,0.25,1.0
