Date,AMD,APLD,APP,ARKF,ARKG,ARKK,ARKX,BRK-B,BTC-USD,CIBR,CPNG,EMQQ,FDN,GOOGL,HOOD,ICLN,META,NBIS,QQQM,RDDT,SGOV,SHV,SMCI,SNOW,SOXX,TSLA,ULTY,WCLD,^NDX,^SPX,^VIX
2015-07-20,1.8000,,,,22.1495,19.8083,,144.5100,278.9810,19.3554,,23.5085,72.9700,34.4355,,9.0822,97.3758,,,,,91.3091,2.4990,,26.8538,18.8173,,,4679.6802,2128.2800,12.2500
2015-07-21,1.8000,0.9605,51.7536,,21.8624,19.7361,,143.6000,275.8330,19.1936,18.0735,23.6466,73.1100,34.5602,10.8500,9.1072,97.8532,2.3535,45.4449,19.8991,82.3579,91.3091,2.5060,238.9336,26.8598,17.7847,2.3000,,4674.4102,2119.2100,12.2200
2015-07-22,1.7900,0.9607,52.1305,,21.7837,19.5376,,143.5200,277.2220,19.1270,18.0531,23.5513,72.7600,34.5478,10.8378,8.9652,96.5105,2.3540,45.3937,19.8265,82.3579,91.3091,2.5390,240.6735,26.1918,17.8580,2.2902,,4623.2402,2114.1499,12.1200
2015-07-23,1.7600,0.9368,51.7857,,21.7050,19.6730,,142.1800,276.0490,19.4981,17.8555,23.4656,71.9700,33.5354,10.7191,8.9234,94.9193,2.2954,44.8968,19.6271,82.3579,91.3091,2.5760,239.0817,26.5812,17.8133,2.2848,,4602.8301,2102.1499,12.6400
2015-07-24,1.6700,0.9507,51.6190,,21.1957,19.7632,,141.2500,288.2780,19.3649,17.7767,23.0561,72.2600,32.5433,10.6718,8.8566,96.4210,2.3296,44.6986,19.7631,82.3579,91.3174,2.5450,238.3121,26.0480,17.6940,2.2718,,4557.3701,2079.6499,13.7400
2015-07-25,1.6700,0.9317,51.3148,,21.1957,19.7632,,141.2500,288.6970,19.3649,17.6011,23.0561,72.2600,32.5433,10.5664,8.8566,96.4210,2.2828,44.2571,19.8537,82.3653,91.3174,2.5450,236.9075,26.0480,17.6940,2.2475,,4557.3701,2079.6499,13.7400
2015-07-26,1.6700,0.9317,51.4443,,21.1957,19.7632,,141.2500,292.6860,19.3649,17.6011,23.0561,72.2600,32.5433,10.5664,8.8566,96.4210,2.2828,44.2571,19.8537,82.3653,91.3174,2.5450,237.5053,26.0480,17.6940,2.2475,,4557.3701,2079.6499,13.7400
2015-07-27,1.6200,0.9317,51.5561,,20.8809,19.5376,,140.7200,293.6240,18.8891,17.6011,22.2085,71.3700,32.7173,10.5664,8.6978,93.6562,2.2828,44.2571,19.8537,82.3653,91.3091,2.5200,238.0216,25.8563,16.8673,2.2475,,4519.0898,2067.6399,15.6000
2015-07-28,1.7700,0.9248,51.0164,,21.0568,19.8264,,143.2200,294.4270,19.0794,17.4533,22.0181,72.0600,32.7864,10.4777,8.8065,94.7701,2.2660,43.8854,19.6271,82.3579,91.3091,2.5330,235.5298,26.3955,17.6547,2.2345,,4560.2300,2093.2500,13.4400
2015-07-29,1.9600,0.9441,50.4855,,21.2069,19.6910,,142.9200,289.5900,18.9823,17.6121,22.3752,72.1100,32.8743,10.5731,8.9986,96.4608,2.3133,44.2849,19.9172,82.3579,91.3091,2.5700,233.0789,26.4284,17.5880,2.2622,,4581.6001,2108.5701,12.5000
2015-07-30,1.9300,0.9453,50.3837,,20.9781,19.5376,,142.8500,287.7220,19.0413,17.6947,21.9990,72.4700,33.0299,10.6226,8.7981,94.6905,2.3162,44.4924,19.7812,82.3579,91.3091,2.5770,232.6088,26.5333,17.7860,2.2787,,4598.5898,2108.6299,12.1300
2015-07-31,1.9300,0.9490,50.2695,,21.1031,19.4022,,142.7400,284.6500,18.9938,17.7603,21.8457,72.4100,32.6790,10.6620,8.7730,93.4971,2.3254,44.6574,19.6271,82.3579,91.3009,2.6670,232.0817,26.2247,17.7433,2.2788,,4588.9102,2103.8401,12.1200
2015-08-01,1.9300,0.9380,50.0324,,21.1031,19.4022,,142.7400,281.6010,18.9938,17.7229,21.8457,72.4100,32.6790,10.6396,8.7730,93.4971,2.2983,44.5634,19.4911,82.3504,91.3009,2.6670,230.9869,26.2247,17.7433,2.2736,,4588.9102,2103.8401,12.1200
2015-08-02,1.9300,0.9380,50.3478,,21.1031,19.4022,,142.7400,282.6140,18.9938,17.7229,21.8457,72.4100,32.6790,10.6396,8.7730,93.4971,2.2983,44.5634,19.4911,82.3504,91.3009,2.6670,232.4431,26.2247,17.7433,2.2736,,4588.9102,2103.8401,12.1200
2015-08-03,2.2000,0.9380,50.6001,,20.9642,19.0503,,142.3300,281.2270,18.8415,17.7229,21.4524,72.0700,33.0379,10.6396,8.7563,93.6264,2.2983,44.5634,19.4911,82.3504,91.3091,2.6610,233.6082,26.1409,17.3327,2.2736,,4580.4600,2098.0400,12.5600
2015-08-04,2.1300,0.9350,50.8081,,20.9920,18.9961,,142.6800,285.2180,18.8320,17.6903,21.9228,72.3600,32.8669,10.6200,8.6811,93.5468,2.2910,44.4814,19.1375,82.3579,91.3009,2.5810,234.5683,25.8503,17.7520,2.2673,,4567.4702,2093.3201,13.0000
2015-08-05,2.1600,0.9246,50.7561,,21.1356,19.0413,,143.5000,281.8820,19.0889,17.6401,22.1123,73.2300,33.4638,10.5898,8.8900,95.9138,2.2655,44.3552,19.0832,82.3504,91.3091,2.7910,234.3284,26.1768,18.0087,2.2622,,4602.2402,2099.8401,12.5100
