Date,Ticker,Metric,Value
2021-03-31,AMD,rolling_vol_21d,
2021-03-31,AMD,rolling_ret_21d,
2021-03-31,AMD,rolling_sharpe_21d,
2021-04-01,AMD,rolling_vol_21d,
2021-04-01,AMD,rolling_ret_21d,
2021-04-01,AMD,rolling_sharpe_21d,
2021-04-02,AMD,rolling_vol_21d,
2021-04-02,AMD,rolling_ret_21d,
2021-04-02,AMD,rolling_sharpe_21d,
2021-04-03,AMD,rolling_vol_21d,
2021-04-03,AMD,rolling_ret_21d,
2021-04-03,AMD,rolling_sharpe_21d,
2021-04-04,AMD,rolling_vol_21d,
2021-04-04,AMD,rolling_ret_21d,
2021-04-04,AMD,rolling_sharpe_21d,
2021-04-05,AMD,rolling_vol_21d,
2021-04-05,AMD,rolling_ret_21d,
2021-04-05,AMD,rolling_sharpe_21d,
2021-04-06,AMD,rolling_vol_21d,
2021-04-06,AMD,rolling_ret_21d,
2021-04-06,AMD,rolling_sharpe_21d,
2021-04-07,AMD,rolling_vol_21d,
2021-04-07,AMD,rolling_ret_21d,
2021-04-07,AMD,rolling_sharpe_21d,
2021-04-08,AMD,rolling_vol_21d,
2021-04-08,AMD,rolling_ret_21d,
2021-04-08,AMD,rolling_sharpe_21d,
2021-04-09,AMD,rolling_vol_21d,
2021-04-09,AMD,rolling_ret_21d,
2021-04-09,AMD,rolling_sharpe_21d,
2021-04-10,AMD,rolling_vol_21d,
2021-04-10,AMD,rolling_ret_21d,
2021-04-10,AMD,rolling_sharpe_21d,
2021-04-11,AMD,rolling_vol_21d,
2021-04-11,AMD,rolling_ret_21d,
2021-04-11,AMD,rolling_sharpe_21d,
2021-04-12,AMD,rolling_vol_21d,
2021-04-12,AMD,rolling_ret_21d,
2021-04-12,AMD,rolling_sharpe_21d,
2021-04-13,AMD,rolling_vol_21d,
2021-04-13,AMD,rolling_ret_21d,
2021-04-13,AMD,rolling_sharpe_21d,
2021-04-14,AMD,rolling_vol_21d,
2021-04-14,AMD,rolling_ret_21d,
2021-04-14,AMD,rolling_sharpe_21d,
2021-04-15,AMD,rolling_vol_21d,
2021-04-15,AMD,rolling_ret_21d,
2021-04-15,AMD,rolling_sharpe_21d,
2021-04-16,AMD,rolling_vol_21d,
2021-04-16,AMD,rolling_ret_21d,
2021-04-16,AMD,rolling_sharpe_21d,
2021-04-17,AMD,rolling_vol_21d,
2021-04-17,AMD,rolling_ret_21d,
2021-04-17,AMD,rolling_sharpe_21d,
2021-04-18,AMD,rolling_vol_21d,
2021-04-18,AMD,rolling_ret_21d,
2021-04-18,AMD,rolling_sharpe_21d,
2021-04-19,AMD,rolling_vol_21d,
2021-04-19,AMD,rolling_ret_21d,
2021-04-19,AMD,rolling_sharpe_21d,
2021-04-20,AMD,rolling_vol_21d,0.3515922924992404
2021-04-20,AMD,rolling_ret_21d,0.5646170270774391
2021-04-20,AMD,rolling_sharpe_21d,1.463675507273957
2021-04-21,AMD,rolling_vol_21d,0.34806095852150987
2021-04-21,AMD,rolling_ret_21d,0.5241125553518904
2021-04-21,AMD,rolling_sharpe_21d,1.3621537944554925
2021-04-22,AMD,rolling_vol_21d,0.3473079854354767
2021-04-22,AMD,rolling_ret_21d,-0.2467650612758976
2021-04-22,AMD,rolling_sharpe_21d,-0.8544723234733426
2021-04-23,AMD,rolling_vol_21d,0.38478625375876097
2021-04-23,AMD,rolling_ret_21d,0.3148337244564581
2021-04-23,AMD,rolling_sharpe_21d,0.6882619165041528
2021-04-24,AMD,rolling_vol_21d,0.38478625375876097
2021-04-24,AMD,rolling_ret_21d,0.3148337244564581
2021-04-24,AMD,rolling_sharpe_21d,0.6882619165041528
2021-04-25,AMD,rolling_vol_21d,0.38478625375876097
2021-04-25,AMD,rolling_ret_21d,0.3148337244564581
2021-04-25,AMD,rolling_sharpe_21d,0.6882619165041528
2021-04-26,AMD,rolling_vol_21d,0.39927059119868236
2021-04-26,AMD,rolling_ret_21d,0.6487628549877198
2021-04-26,AMD,rolling_sharpe_21d,1.4996417672289
2021-04-27,AMD,rolling_vol_21d,0.39955243080097746
2021-04-27,AMD,rolling_ret_21d,0.6191894425036999
2021-04-27,AMD,rolling_sharpe_21d,1.4245675876946948
2021-04-28,AMD,rolling_vol_21d,0.4026402718746445
2021-04-28,AMD,rolling_ret_21d,0.33961919550731423
2021-04-28,AMD,rolling_sharpe_21d,0.719300119083673
2021-04-29,AMD,rolling_vol_21d,0.4000672106380079
2021-04-29,AMD,rolling_ret_21d,0.15602543872017582
2021-04-29,AMD,rolling_sharpe_21d,0.26501906654907204
2021-04-30,AMD,rolling_vol_21d,0.41094675450305596
2021-04-30,AMD,rolling_ret_21d,-0.08652529317849345
2021-04-30,AMD,rolling_sharpe_21d,-0.33222136854101425
2021-05-01,AMD,rolling_vol_21d,0.41094675450305596
2021-05-01,AMD,rolling_ret_21d,-0.08652529317849345
2021-05-01,AMD,rolling_sharpe_21d,-0.33222136854101425
2021-05-02,AMD,rolling_vol_21d,0.41094675450305596
2021-05-02,AMD,rolling_ret_21d,-0.08652529317849345
2021-05-02,AMD,rolling_sharpe_21d,-0.33222136854101425
2021-05-03,AMD,rolling_vol_21d,0.3931569289820922
2021-05-03,AMD,rolling_ret_21d,0.068204644529275
2021-05-03,AMD,rolling_sharpe_21d,0.04630376113784375
2021-05-04,AMD,rolling_vol_21d,0.38625317210822674
2021-05-04,AMD,rolling_ret_21d,-0.16849330680584185
2021-05-04,AMD,rolling_sharpe_21d,-0.5656738185819244
2021-05-05,AMD,rolling_vol_21d,0.3811467401411568
2021-05-05,AMD,rolling_ret_21d,-0.042144993260536
2021-05-05,AMD,rolling_sharpe_21d,-0.24175726447617085
2021-05-06,AMD,rolling_vol_21d,0.3202208338503296
2021-05-06,AMD,rolling_ret_21d,-0.7142435206864746
2021-05-06,AMD,rolling_sharpe_21d,-2.386613986033401
2021-05-07,AMD,rolling_vol_21d,0.3228552025080711
2021-05-07,AMD,rolling_ret_21d,-0.44818280093412177
2021-05-07,AMD,rolling_sharpe_21d,-1.5430533473335237
2021-05-08,AMD,rolling_vol_21d,0.3228552025080711
2021-05-08,AMD,rolling_ret_21d,-0.44818280093412177
2021-05-08,AMD,rolling_sharpe_21d,-1.5430533473335237
2021-05-09,AMD,rolling_vol_21d,0.3228552025080711
2021-05-09,AMD,rolling_ret_21d,-0.44818280093412177
2021-05-09,AMD,rolling_sharpe_21d,-1.5430533473335237
2021-05-10,AMD,rolling_vol_21d,0.3420404180029856
2021-05-10,AMD,rolling_ret_21d,-0.7256527099574415
2021-05-10,AMD,rolling_sharpe_21d,-2.267722377624597
2021-05-11,AMD,rolling_vol_21d,0.3373608757287541
2021-05-11,AMD,rolling_ret_21d,-0.3207807700268588
2021-05-11,AMD,rolling_sharpe_21d,-1.0990627446822703
2021-05-12,AMD,rolling_vol_21d,0.3304376361516446
2021-05-12,AMD,rolling_ret_21d,-1.0170670256076666
2021-05-12,AMD,rolling_sharpe_21d,-3.2292539010839794
2021-05-13,AMD,rolling_vol_21d,0.3214357935631114
2021-05-13,AMD,rolling_ret_21d,-0.8913091173379604
2021-05-13,AMD,rolling_sharpe_21d,-2.9284514549657388
2021-05-14,AMD,rolling_vol_21d,0.2797758146897354
2021-05-14,AMD,rolling_ret_21d,-1.2066361832728063
2021-05-14,AMD,rolling_sharpe_21d,-4.491582607547352
2021-05-15,AMD,rolling_vol_21d,0.2797758146897354
2021-05-15,AMD,rolling_ret_21d,-1.2066361832728063
2021-05-15,AMD,rolling_sharpe_21d,-4.491582607547352
2021-05-16,AMD,rolling_vol_21d,0.2797758146897354
2021-05-16,AMD,rolling_ret_21d,-1.2066361832728063
2021-05-16,AMD,rolling_sharpe_21d,-4.491582607547352
2021-05-17,AMD,rolling_vol_21d,0.24700728994831722
2021-05-17,AMD,rolling_ret_21d,-1.5812270107452502
2021-05-17,AMD,rolling_sharpe_21d,-6.603963029133923
2021-05-18,AMD,rolling_vol_21d,0.24691808106057622
2021-05-18,AMD,rolling_ret_21d,-1.5868847917821993
2021-05-18,AMD,rolling_sharpe_21d,-6.629262566562
2021-05-19,AMD,rolling_vol_21d,0.2663864831612038
2021-05-19,AMD,rolling_ret_21d,-1.1307442871238909
2021-05-19,AMD,rolling_sharpe_21d,-4.432448197491176
2021-05-20,AMD,rolling_vol_21d,0.28404151461257127
2021-05-20,AMD,rolling_ret_21d,-0.8269581812127504
2021-05-20,AMD,rolling_sharpe_21d,-3.0874296048199485
2021-05-21,AMD,rolling_vol_21d,0.27220481494017607
2021-05-21,AMD,rolling_ret_21d,-0.6362822703529494
2021-05-21,AMD,rolling_sharpe_21d,-2.521198129811838
2021-05-22,AMD,rolling_vol_21d,0.27220481494017607
2021-05-22,AMD,rolling_ret_21d,-0.6362822703529494
2021-05-22,AMD,rolling_sharpe_21d,-2.521198129811838
2021-05-23,AMD,rolling_vol_21d,0.27220481494017607
2021-05-23,AMD,rolling_ret_21d,-0.6362822703529494
2021-05-23,AMD,rolling_sharpe_21d,-2.521198129811838
2021-05-24,AMD,rolling_vol_21d,0.2408847465757632
2021-05-24,AMD,rolling_ret_21d,-0.14293708213904566
2021-05-24,AMD,rolling_sharpe_21d,-0.8009518447377613
2021-05-25,AMD,rolling_vol_21d,0.24174845298744524
2021-05-25,AMD,rolling_ret_21d,-0.08702057372991412
2021-05-25,AMD,rolling_sharpe_21d,-0.5667898678839945
2021-05-26,AMD,rolling_vol_21d,0.2401361747385042
2021-05-26,AMD,rolling_ret_21d,0.10602718358358976
2021-05-26,AMD,rolling_sharpe_21d,0.23331421700458269
2021-05-27,AMD,rolling_vol_21d,0.24014233822950548
2021-05-27,AMD,rolling_ret_21d,0.10903052829798954
2021-05-27,AMD,rolling_sharpe_21d,0.24581474775836365
2021-05-28,AMD,rolling_vol_21d,0.24779395697723844
2021-05-28,AMD,rolling_ret_21d,0.2213090117850398
2021-05-28,AMD,rolling_sharpe_21d,0.6913365195615959
2021-05-29,AMD,rolling_vol_21d,0.24779395697723844
2021-05-29,AMD,rolling_ret_21d,0.2213090117850398
2021-05-29,AMD,rolling_sharpe_21d,0.6913365195615959
2021-05-30,AMD,rolling_vol_21d,0.24779395697723844
2021-05-30,AMD,rolling_ret_21d,0.2213090117850398
2021-05-30,AMD,rolling_sharpe_21d,0.6913365195615959
2021-05-31,AMD,rolling_vol_21d,0.20906712948811615
2021-05-31,AMD,rolling_ret_21d,0.6506961453975264
2021-05-31,AMD,rolling_sharpe_21d,2.873221375681017
2021-06-01,AMD,rolling_vol_21d,0.2081834549591985
2021-06-01,AMD,rolling_ret_21d,0.6274377220206673
2021-06-01,AMD,rolling_sharpe_21d,2.7736965078893436
2021-06-02,AMD,rolling_vol_21d,0.17862753285140953
2021-06-02,AMD,rolling_ret_21d,1.1417475161439223
2021-06-02,AMD,rolling_sharpe_21d,6.111865840145077
2021-06-03,AMD,rolling_vol_21d,0.17836212367939686
2021-06-03,AMD,rolling_ret_21d,1.143536069481018
2021-06-03,AMD,rolling_sharpe_21d,6.130988165663648
2021-06-04,AMD,rolling_vol_21d,0.17405183022413845
2021-06-04,AMD,rolling_ret_21d,1.0915842301020429
2021-06-04,AMD,rolling_sharpe_21d,5.984333682448059
2021-06-05,AMD,rolling_vol_21d,0.17405183022413845
2021-06-05,AMD,rolling_ret_21d,1.0915842301020429
2021-06-05,AMD,rolling_sharpe_21d,5.984333682448059
2021-06-06,AMD,rolling_vol_21d,0.17405183022413845
2021-06-06,AMD,rolling_ret_21d,1.0915842301020429
2021-06-06,AMD,rolling_sharpe_21d,5.984333682448059
2021-06-07,AMD,rolling_vol_21d,0.1754243963606513
2021-06-07,AMD,rolling_ret_21d,1.0480996401095344
2021-06-07,AMD,rolling_sharpe_21d,5.689628471387541
2021-06-08,AMD,rolling_vol_21d,0.17711535832704953
2021-06-08,AMD,rolling_ret_21d,1.0140022275170284
2021-06-08,AMD,rolling_sharpe_21d,5.442792971894428
2021-06-09,AMD,rolling_vol_21d,0.1691031809414552
2021-06-09,AMD,rolling_ret_21d,0.5874825491059275
2021-06-09,AMD,rolling_sharpe_21d,3.178429560659819
2021-06-10,AMD,rolling_vol_21d,0.163109514681872
2021-06-10,AMD,rolling_ret_21d,0.5395270483331105
2021-06-10,AMD,rolling_sharpe_21d,3.0012170000498233
2021-06-11,AMD,rolling_vol_21d,0.15682383782039166
2021-06-11,AMD,rolling_ret_21d,0.6395621441340915
2021-06-11,AMD,rolling_sharpe_21d,3.7593911252784764
2021-06-12,AMD,rolling_vol_21d,0.15682383782039166
2021-06-12,AMD,rolling_ret_21d,0.6395621441340915
2021-06-12,AMD,rolling_sharpe_21d,3.7593911252784764
2021-06-13,AMD,rolling_vol_21d,0.15682383782039166
2021-06-13,AMD,rolling_ret_21d,0.6395621441340915
2021-06-13,AMD,rolling_sharpe_21d,3.7593911252784764
2021-06-14,AMD,rolling_vol_21d,0.1567930518209026
2021-06-14,AMD,rolling_ret_21d,0.6329969142543885
2021-06-14,AMD,rolling_sharpe_21d,3.7182573301801582
2021-06-15,AMD,rolling_vol_21d,0.16551694745559054
2021-06-15,AMD,rolling_ret_21d,0.40899336220752724
2021-06-15,AMD,rolling_sharpe_21d,2.16892208155209
2021-06-16,AMD,rolling_vol_21d,0.1659408491546637
2021-06-16,AMD,rolling_ret_21d,0.28132982269711615
2021-06-16,AMD,rolling_sharpe_21d,1.3940498911241999
2021-06-17,AMD,rolling_vol_21d,0.25116616555232674
2021-06-17,AMD,rolling_ret_21d,0.9356589942246369
2021-06-17,AMD,rolling_sharpe_21d,3.5261875033089325
2021-06-18,AMD,rolling_vol_21d,0.2430871158164622
2021-06-18,AMD,rolling_ret_21d,0.6944141579996375
2021-06-18,AMD,rolling_sharpe_21d,2.650959742704705
2021-06-19,AMD,rolling_vol_21d,0.2430871158164622
2021-06-19,AMD,rolling_ret_21d,0.6944141579996375
2021-06-19,AMD,rolling_sharpe_21d,2.650959742704705
2021-06-20,AMD,rolling_vol_21d,0.2430871158164622
2021-06-20,AMD,rolling_ret_21d,0.6944141579996375
2021-06-20,AMD,rolling_sharpe_21d,2.650959742704705
2021-06-21,AMD,rolling_vol_21d,0.2605529420178751
2021-06-21,AMD,rolling_ret_21d,0.40238816863165194
2021-06-21,AMD,rolling_sharpe_21d,1.352462827333865
2021-06-22,AMD,rolling_vol_21d,0.26178380145687846
2021-06-22,AMD,rolling_ret_21d,0.4368406395171034
2021-06-22,AMD,rolling_sharpe_21d,1.4777103753718106
2021-06-23,AMD,rolling_vol_21d,0.2578000327307516
2021-06-23,AMD,rolling_ret_21d,0.2990427349021907
2021-06-23,AMD,rolling_sharpe_21d,0.966030656645777
2021-06-24,AMD,rolling_vol_21d,0.26004954892035076
2021-06-24,AMD,rolling_ret_21d,0.8728640667807737
2021-06-24,AMD,rolling_sharpe_21d,3.164258773749323
2021-06-25,AMD,rolling_vol_21d,0.25754438470756624
2021-06-25,AMD,rolling_ret_21d,0.6116452316584073
2021-06-25,AMD,rolling_sharpe_21d,2.180770636083323
2021-06-26,AMD,rolling_vol_21d,0.25754438470756624
2021-06-26,AMD,rolling_ret_21d,0.6116452316584073
2021-06-26,AMD,rolling_sharpe_21d,2.180770636083323
2021-06-27,AMD,rolling_vol_21d,0.25754438470756624
2021-06-27,AMD,rolling_ret_21d,0.6116452316584073
2021-06-27,AMD,rolling_sharpe_21d,2.180770636083323
2021-06-28,AMD,rolling_vol_21d,0.26161108366521113
