Ticker,Model,ForecastVol,BaseWeight,VolAdjWeight,CurrentDollar,TargetDollar,DeltaDollar,Price,DeltaShares
AMD,EWMA (5D),0.4068,0.07221801441922568,0.005934593132558967,7849.5,645.0411184611613,-7204.458881538839,160.41,-44.0
APLD,EWMA (5D),0.6597,0.07529534182389383,0.003815469404992467,8183.98,414.70992155269346,-7769.270078447306,10.91,-712.0
APP,EWMA (5D),0.3774,0.07041622119113967,0.006237307708744966,7653.66,677.9436855682877,-6975.716314431712,363.78,-19.0
BRK-B,EWMA (5D),0.1057,0.002371360087408758,0.0007499785958096673,257.7472,81.51646144179746,-176.23073855820257,473.4,-0.0
GOOGL,EWMA (5D),0.0654,0.09534636370617577,0.048736320385589,10363.36,5297.234352719034,-5066.125647280966,183.58,-27.0
META,EWMA (5D),0.1193,0.08423493745298928,0.023603595549378843,9155.64,2565.5153323562636,-6590.124667643736,701.41,-9.0
QQQM,EWMA (5D),0.0636,0.046766213019219835,0.02458110705132151,5083.1,2671.7627360851634,-2411.337263914837,231.25,-10.0
RDDT,EWMA (5D),0.15539999999999998,0.14184116689988222,0.03051248867876876,15416.96,3316.454790540936,-12100.505209459063,142.52,-84.0
SGOV,EWMA (5D),0.0021,0.049416460962859836,0.7866448342083859,5371.160000000001,85501.77785661876,80130.61785661876,100.56,796.0
SMCI,EWMA (5D),0.4753,0.06715847525500315,0.0047234504457531286,7299.570000000001,513.3999400580129,-6786.170059941987,52.75,-128.0
SNOW,EWMA (5D),0.1301,0.06984110837104338,0.017945690634584576,7591.15,1950.5479314129552,-5640.602068587044,211.58,-26.0
TSLA,EWMA (5D),0.3617,0.06975646530681548,0.006447068839500435,7581.95,700.7429830719134,-6881.207016928087,319.41,-21.0
ULTY,EWMA (5D),0.12960000000000002,0.1553378715043431,0.040068095364611866,16883.94,4355.070090113024,-12528.869909886975,6.4,-1957.0
AMD,EWMA (20D),0.3791,0.07221801441922568,0.00760379731907265,7849.5,826.4697878507626,-7023.030212149238,160.41,-43.0
APLD,EWMA (20D),0.7240000000000001,0.07529534182389383,0.0041511489412891095,8183.98,451.1955067816753,-7732.784493218324,10.91,-708.0
APP,EWMA (20D),0.4029,0.07041622119113967,0.006976124472314676,7653.66,758.2469482968261,-6895.413051703174,363.78,-18.0
BRK-B,EWMA (20D),0.10369999999999999,0.002371360087408758,0.0009127619394029308,257.7472,99.20966258850689,-158.53753741149313,473.4,-0.0
GOOGL,EWMA (20D),0.1481,0.09534636370617577,0.025697320970659306,10363.36,2793.0859437405306,-7570.27405625947,183.58,-41.0
META,EWMA (20D),0.1593,0.08423493745298928,0.021106452991401754,9155.64,2294.0966196365334,-6861.543380363466,701.41,-9.0
