Date,AMD,APLD,APP,ARKF,ARKG,ARKK,ARKX,BRK-B,BTC-USD,CIBR,CPNG,EMQQ,FDN,GOOGL,HOOD,ICLN,META,NBIS,QQQM,RDDT,SGOV,SHV,SMCI,SNOW,SOXX,TSLA,ULTY,WCLD,^NDX,^SPX,^VIX
2015-07-20,1.8000,,,,22.1495,19.8083,,144.5100,278.9810,19.3554,,23.5085,72.9700,34.4355,,9.0822,97.3758,,,,,91.3091,2.4990,,26.8538,18.8173,,,4679.6802,2128.2800,12.2500
2015-07-21,1.8000,,,,21.8625,19.7361,,143.6000,275.8330,19.1936,,23.6466,73.1100,34.5602,,9.1072,97.8532,,,,,91.3091,2.5060,,26.8598,17.7847,,,4674.4102,2119.2100,12.2200
2015-07-22,1.7900,,,,21.7837,19.5376,,143.5200,277.2220,19.1270,,23.5513,72.7600,34.5478,,8.9652,96.5105,,,,,91.3091,2.5390,,26.1918,17.8580,,,4623.2402,2114.1499,12.1200
2015-07-23,1.7600,,,,21.7050,19.6730,,142.1800,276.0490,19.4981,,23.4656,71.9700,33.5354,,8.9234,94.9193,,,,,91.3091,2.5760,,26.5812,17.8133,,,4602.8301,2102.1499,12.6400
2015-07-24,1.6700,,,,21.1957,19.7632,,141.2500,288.2780,19.3649,,23.0561,72.2600,32.5433,,8.8566,96.4210,,,,,91.3174,2.5450,,26.0480,17.6940,,,4557.3701,2079.6499,13.7400
2015-07-25,1.6700,,,,21.1957,19.7632,,141.2500,288.6970,19.3649,,23.0561,72.2600,32.5433,,8.8566,96.4210,,,,,91.3174,2.5450,,26.0480,17.6940,,,4557.3701,2079.6499,13.7400
2015-07-26,1.6700,,,,21.1957,19.7632,,141.2500,292.6860,19.3649,,23.0561,72.2600,32.5433,,8.8566,96.4210,,,,,91.3174,2.5450,,26.0480,17.6940,,,4557.3701,2079.6499,13.7400
2015-07-27,1.6200,,,,20.8809,19.5376,,140.7200,293.6240,18.8891,,22.2085,71.3700,32.7173,,8.6978,93.6562,,,,,91.3091,2.5200,,25.8563,16.8673,,,4519.0898,2067.6399,15.6000
2015-07-28,1.7700,,,,21.0568,19.8264,,143.2200,294.4270,19.0794,,22.0181,72.0600,32.7864,,8.8065,94.7701,,,,,91.3091,2.5330,,26.3955,17.6547,,,4560.2300,2093.2500,13.4400
2015-07-29,1.9600,,,,21.2069,19.6910,,142.9200,289.5900,18.9823,,22.3752,72.1100,32.8743,,8.9986,96.4608,,,,,91.3091,2.5700,,26.4284,17.5880,,,4581.6001,2108.5701,12.5000
2015-07-30,1.9300,,,,20.9781,19.5376,,142.8500,287.7220,19.0413,,21.9990,72.4700,33.0299,,8.7981,94.6905,,,,,91.3091,2.5770,,26.5333,17.7860,,,4598.5898,2108.6299,12.1300
2015-07-31,1.9300,,,,21.1031,19.4022,,142.7400,284.6500,18.9938,,21.8457,72.4100,32.6790,,8.7730,93.4971,,,,,91.3009,2.6670,,26.2247,17.7433,,,4588.9102,2103.8401,12.1200
2015-08-01,1.9300,,,,21.1031,19.4022,,142.7400,281.6010,18.9938,,21.8457,72.4100,32.6790,,8.7730,93.4971,,,,,91.3009,2.6670,,26.2247,17.7433,,,4588.9102,2103.8401,12.1200
2015-08-02,1.9300,,,,21.1031,19.4022,,142.7400,282.6140,18.9938,,21.8457,72.4100,32.6790,,8.7730,93.4971,,,,,91.3009,2.6670,,26.2247,17.7433,,,4588.9102,2103.8401,12.1200
2015-08-03,2.2000,,,,20.9642,19.0503,,142.3300,281.2270,18.8415,,21.4524,72.0700,33.0379,,8.7563,93.6264,,,,,91.3091,2.6610,,26.1408,17.3327,,,4580.4600,2098.0400,12.5600
2015-08-04,2.1300,,,,20.9920,18.9961,,142.6800,285.2180,18.8320,,21.9228,72.3600,32.8669,,8.6811,93.5468,,,,,91.3009,2.5810,,25.8503,17.7520,,,4567.4702,2093.3201,13.0000
2015-08-05,2.1600,,,,21.1356,19.0413,,143.5000,281.8820,19.0889,,22.1123,73.2300,33.4638,,8.8900,95.9138,,,,,91.3091,2.7910,,26.1768,18.0087,,,4602.2402,2099.8401,12.5100
